what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406440434919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406440542864
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1406440545402
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406440548479
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406440549232
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406440549415
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406440549599
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406440549774
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406440549944
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406440550121
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406440550303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406440552497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1406440552518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406440554700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406440573821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406440584582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406440594548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406440595302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406440595564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406440607900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406440610506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406441415209
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1406441418309
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406441421424
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406441421825
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406441421996
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406441422148
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406441422304
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406441422450
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406441422601
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1406441422737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406441424909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406441443871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406441444278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406445495411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406445497284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406445506709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406445507278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406446634344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406446636007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406446636634
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1406446637930
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406446639225
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1406446659556
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1406446659613
